date,regime,portfolio_value,cash,open_positions
2020-12-08,Recovery,96790812.61349352,68328448.61349352,11
2020-12-09,Narrow Bull,97361309.61349352,71000408.61349352,10
2020-12-10,Narrow Bull,97222510.61349352,71000408.61349352,10
2020-12-11,Narrow Bull,97160465.61349352,71000408.61349352,10
2020-12-14,Narrow Bull,97515000.61349352,71000408.61349352,10
2020-12-15,Narrow Bull,97533237.61349352,71000408.61349352,10
2020-12-16,Narrow Bull,98270682.61349352,71000408.61349352,10
2020-12-17,Narrow Bull,98027318.61349352,71000408.61349352,10
2020-12-18,Narrow Bull,98078296.61349352,71000408.61349352,10
2020-12-21,Narrow Bull,98330992.61349352,71000408.61349352,10
2020-12-22,Narrow Bull,97345237.79966235,66122016.79966235,10
2020-12-23,Narrow Bull,96754266.79966235,66122016.79966235,10
2020-12-24,Narrow Bull,96682662.79966235,66122016.79966235,10
2020-12-28,Recovery,96237221.79966235,66122016.79966235,10
2020-12-29,Narrow Bull,96731682.79966235,66122016.79966235,10
2020-12-30,Narrow Bull,97048674.79966235,66122016.79966235,10
2021-01-04,Narrow Bull,97663766.79966235,66122016.79966235,10
2021-01-05,Narrow Bull,97662198.79966235,66122016.79966235,10
2021-01-06,Narrow Bull,97848879.79966235,66122016.79966235,10
2021-01-07,Narrow Bull,98645747.79966235,66122016.79966235,10
2021-01-08,Broad Bull,99119869.79966235,66122016.79966235,10
2021-01-11,Broad Bull,98534792.15520132,66501858.15520131,8
2021-01-12,Narrow Bull,98743136.15520132,66501858.15520131,8
2021-01-13,Broad Bull,100867250.15520132,66501858.15520131,8
2021-01-14,Broad Bull,100198963.15520132,66501858.15520131,8
